date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:25	7661/7661	---M-Z	200	added ('OK')	text/html	etag:%2230b45c0-1ded-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm	www.okstate.edu/sas/v8/saspdf/ets/pdfidx.html	(from )
19:50:26	20/20	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%222d784bb-0-3f7d30f7ad400%22	http://www.okstate.edu/robots.txt		(from )
19:50:27	24583/24583	---M--	200	added ('OK')	application/pdf	etag:%2230b459f-6007-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap-1.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap-1.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:50:43	113632/113632	---M--	200	added ('OK')	application/pdf	etag:%2230b45a0-1bbe0-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap1.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap1.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:50:44	72602/72602	---M--	200	added ('OK')	application/pdf	etag:%2230b45b6-11b9a-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap3.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap3.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:50:54	50784/50784	---M--	200	added ('OK')	application/pdf	etag:%2230b45b9-c660-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap5.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap5.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:50:54	117813/117813	---M--	200	added ('OK')	application/pdf	etag:%2230b45b8-1cc35-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap4.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap4.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:51:26	308112/308112	---M--	200	added ('OK')	application/pdf	etag:%2230b45ab-4b390-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap2.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap2.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:51:58	387378/387378	---M--	200	added ('OK')	application/pdf	etag:%2230b45ba-5e932-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap6.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap6.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:52:00	170904/170904	---M--	200	added ('OK')	application/pdf	etag:%2230b45bd-29b98-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap9.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap9.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:52:36	188002/188002	---M--	200	added ('OK')	application/pdf	etag:%2230b45a2-2de62-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap11.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap11.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
19:52:45	591771/591771	---M--	200	added ('OK')	application/pdf	etag:%2230b45bb-9079b-370aa906dd400%22	http://www.okstate.edu/sas/v8/saspdf/ets/chap7.pdf	www.okstate.edu/sas/v8/saspdf/ets/chap7.pdf	(from http://www.okstate.edu/sas/v8/saspdf/ets/pdfidx.htm)
