date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:26	933/933	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sun,%2010%20Dec%202017%2011:55:26%20GMT	http://www.bogotobogo.com/robots.txt		(from )
17:25:27	285/285	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Jan%202017%2004:13:12%20GMT	http://www.bogotobogo.com/	www.bogotobogo.com/index.html	(from )
17:25:29	58171/58171	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:28%20GMT	http://www.bogotobogo.com/index.php	www.bogotobogo.com/index-2.html	(from http://www.bogotobogo.com/)
17:25:30	366/366	---MCZ	200	added ('OK')	text/css	date:Sun,%2017%20Jul%202016%2021:39:38%20GMT	http://www.bogotobogo.com/public/css/app.css	www.bogotobogo.com/public/css/app.css	(from http://www.bogotobogo.com/index.php)
17:25:31	18389/18389	---MCZ	200	added ('OK')	text/css	date:Wed,%2031%20Aug%202016%2000:25:15%20GMT	http://www.bogotobogo.com/public/css/styles.css	www.bogotobogo.com/public/css/styles.css	(from http://www.bogotobogo.com/index.php)
17:25:32	1519/1519	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Nov%202016%2019:35:06%20GMT	http://www.bogotobogo.com/public/css/bogostyleWidePreNew.css	www.bogotobogo.com/public/css/bogostyleWidePreNew.css	(from http://www.bogotobogo.com/index.php)
17:25:32	18440/18440	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:32%20GMT	http://www.bogotobogo.com/about_us.php	www.bogotobogo.com/about_us.html	(from http://www.bogotobogo.com/index.php)
17:25:34	137858/137858	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:33%20GMT	http://www.bogotobogo.com/Hadoop/BigData_hadoop_Install_on_ubuntu_single_node_cluster.php	www.bogotobogo.com/Hadoop/BigData_hadoop_Install_on_ubuntu_single_node_cluster.html	(from http://www.bogotobogo.com/index.php)
17:25:35	60794/60794	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:34%20GMT	http://www.bogotobogo.com/python/scikit-learn/Artificial-Neural-Network-ANN-1-Introduction.php	www.bogotobogo.com/python/scikit-learn/Artificial-Neural-Network-ANN-1-Introduction.html	(from http://www.bogotobogo.com/index.php)
17:25:36	56267/56267	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:35%20GMT	http://www.bogotobogo.com/AngularJS/AngularJS_Introduction.php	www.bogotobogo.com/AngularJS/AngularJS_Introduction.html	(from http://www.bogotobogo.com/index.php)
17:25:37	61405/61405	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:36%20GMT	http://www.bogotobogo.com/python/pytut.php	www.bogotobogo.com/python/pytut.html	(from http://www.bogotobogo.com/index.php)
17:25:38	39851/39851	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:37%20GMT	http://www.bogotobogo.com/cplusplus/cpptut.php	www.bogotobogo.com/cplusplus/cpptut.html	(from http://www.bogotobogo.com/index.php)
17:25:39	86302/86302	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:38%20GMT	http://www.bogotobogo.com/DevOps/DevOps_Jenkins_Chef_Puppet_Graphite_Logstash.php	www.bogotobogo.com/DevOps/DevOps_Jenkins_Chef_Puppet_Graphite_Logstash.html	(from http://www.bogotobogo.com/index.php)
17:25:41	73050/73050	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:39%20GMT	http://www.bogotobogo.com/Algorithms/algorithms.php	www.bogotobogo.com/Algorithms/algorithms.html	(from http://www.bogotobogo.com/index.php)
17:25:41	50556/50556	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:41%20GMT	http://www.bogotobogo.com/Qt/Qt5_Creating_QtQuick2_QML_Application_Animation_A.php	www.bogotobogo.com/Qt/Qt5_Creating_QtQuick2_QML_Application_Animation_A.html	(from http://www.bogotobogo.com/index.php)
17:25:43	32914/32914	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:42%20GMT	http://www.bogotobogo.com/Android/android.php	www.bogotobogo.com/Android/android.html	(from http://www.bogotobogo.com/index.php)
17:25:45	97251/97251	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2011:55:43%20GMT	http://www.bogotobogo.com/Linux/linux_tips1.php	www.bogotobogo.com/Linux/linux_tips1.html	(from http://www.bogotobogo.com/index.php)
