date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:27	5310/5310	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%225952c2db-247c%22	http://colah.github.io/robots.txt		(from )
21:05:28	12405/12405	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/	colah.github.io/index.html	(from )
21:05:28	1028/1028	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmun-serif.css	colah.github.io/fonts/Serif/cmun-serif.css	(from http://colah.github.io/)
21:05:29	596/596	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css	colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css	(from http://colah.github.io/)
21:05:30	99732/99732	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/bootstrap/css/bootstrap.min.css	colah.github.io/bootstrap/css/bootstrap.min.css	(from http://colah.github.io/)
21:05:31	461/461	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/css/sticky-footer-navbar.css	colah.github.io/css/sticky-footer-navbar.css	(from http://colah.github.io/)
21:05:32	2433/2433	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/css/default.css	colah.github.io/css/default.css	(from http://colah.github.io/)
21:05:33	821/821	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/css/index.css	colah.github.io/css/index.css	(from http://colah.github.io/)
21:05:34	1787/1787	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/css/inlineDisqussions.css	colah.github.io/css/inlineDisqussions.css	(from http://colah.github.io/)
21:05:35	1439/1439	---M-Z	200	added ('OK')	text/css	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/highlight/styles/github.css	colah.github.io/highlight/styles/github.css	(from http://colah.github.io/)
21:05:36	1406/1406	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/favicon.ico	colah.github.io/favicon.ico	(from http://colah.github.io/)
21:05:37	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2db-247c%22	http://colah.github.io/linkid.js	colah.github.io/linkid.js	(from http://colah.github.io/)
21:05:38	6449/6449	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/about.html	colah.github.io/about.html	(from http://colah.github.io/)
21:05:39	5589/5589	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/contact.html	colah.github.io/contact.html	(from http://colah.github.io/)
21:05:44	35269/35269	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-03-NN-Manifolds-Topology/	colah.github.io/posts/2014-03-NN-Manifolds-Topology/index.html	(from http://colah.github.io/)
21:05:48	11292/11292	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-NLP-RNNs-Representations/img/Mikolov-GenderVecs.png	colah.github.io/posts/2014-07-NLP-RNNs-Representations/img/Mikolov-GenderVecs.png	(from http://colah.github.io/)
21:06:06	98591/98591	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/backprop.png	colah.github.io/images/post-covers/backprop.png	(from http://colah.github.io/)
21:06:11	17108/17108	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/nn_fp.png	colah.github.io/images/post-covers/nn_fp.png	(from http://colah.github.io/)
21:06:14	175931/175931	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/topology.png	colah.github.io/images/post-covers/topology.png	(from http://colah.github.io/)
21:06:20	17183/17183	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/attention.png	colah.github.io/images/post-covers/attention.png	(from http://colah.github.io/)
21:06:21	43204/43204	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/lstm.png	colah.github.io/images/post-covers/lstm.png	(from http://colah.github.io/)
21:06:23	35422/35422	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-NLP-RNNs-Representations/	colah.github.io/posts/2014-07-NLP-RNNs-Representations/index.html	(from http://colah.github.io/)
21:06:27	38963/38963	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-Conv-Nets-Modular/img/fig.png	colah.github.io/posts/2014-07-Conv-Nets-Modular/img/fig.png	(from http://colah.github.io/)
21:06:42	111007/111007	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-Understanding-Convolutions/img/fig.png	colah.github.io/posts/2014-07-Understanding-Convolutions/img/fig.png	(from http://colah.github.io/)
21:06:47	113952/113952	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-12-Groups-Convolution/img/fig.png	colah.github.io/posts/2014-12-Groups-Convolution/img/fig.png	(from http://colah.github.io/)
