date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:22	6963/6963	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sun,%2004%20Feb%202018%2015:36:21%20GMT	https://distill.pub/robots.txt		(from )
21:06:22	34624/34624	---M-Z	200	added ('OK')	text/html	etag:%2227e53ee6aa7f751b2bd7a38817dba567%22	https://distill.pub/	distill.pub/index.html	(from )
21:06:22	4166/4166	---M-Z	200	added ('OK')	application/xml	etag:%22306d43ff9826ef0fa30548c23ccf0c25%22	https://distill.pub/rss.xml	distill.pub/rss.xml	(from https://distill.pub/)
21:06:23	25/25	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:23%20GMT	https://distill.pub/2017/aia	distill.pub/2017/aia	(from https://distill.pub/)
21:06:25	30405/30405	---M--	200	added ('OK')	image/jpeg	etag:%222084dc36278cb0264bd4566f619c84a4%22	https://distill.pub/2017/aia/thumbnail.jpg	distill.pub/2017/aia/thumbnail.jpg	(from https://distill.pub/)
21:06:25	58055/58055	---M-Z	200	added ('OK')	text/html	etag:%22367b44f91678383693d74e7508272156%22	https://distill.pub/about/	distill.pub/about/index.html	(from https://distill.pub/)
21:06:25	31014/31014	---M-Z	200	added ('OK')	text/html	etag:%223cd8adbae4bcefd8cbcca5ed0b8194d3%22	https://distill.pub/prize/	distill.pub/prize/index.html	(from https://distill.pub/)
21:06:25	49603/49603	---M-Z	200	added ('OK')	text/html	etag:%2202c63272fc40165411fc3ea3deda07b9%22	https://distill.pub/journal/	distill.pub/journal/index.html	(from https://distill.pub/)
21:06:26	25/25	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:26%20GMT	https://distill.pub/2017/ctc	distill.pub/2017/ctc	(from https://distill.pub/)
21:06:27	285550/285550	---M-Z	200	added ('OK')	text/html	etag:%220896f2c5a208cf8402a267e23d65573f%22	https://distill.pub/2017/ctc/	distill.pub/2017/ctc/index.html	(from https://distill.pub/)
21:06:28	103062/103062	---M-Z	200	added ('OK')	text/html	etag:%2225913bebc676210057346e99c2a897bb%22	https://distill.pub/2017/aia/	distill.pub/2017/aia/index.html	(from https://distill.pub/)
21:06:28	40534/40534	---M--	200	added ('OK')	image/jpeg	etag:%22a25a8fa25b19bb634d8142b0a8f9b9fc%22	https://distill.pub/2017/ctc/thumbnail.jpg	distill.pub/2017/ctc/thumbnail.jpg	(from https://distill.pub/)
21:06:28	43/43	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:28%20GMT	https://distill.pub/2017/feature-visualization	distill.pub/2017/feature-visualization	(from https://distill.pub/)
21:06:30	121857/121857	---M-Z	200	added ('OK')	text/html	etag:%22bcba7896d64fb3dfdd300238f1a355c8%22	https://distill.pub/2017/feature-visualization/	distill.pub/2017/feature-visualization/index.html	(from https://distill.pub/)
21:06:30	30/30	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:30%20GMT	https://distill.pub/2017/momentum	distill.pub/2017/momentum	(from https://distill.pub/)
21:06:32	1091637/1091637	---M-Z	200	added ('OK')	text/html	etag:%229bc135e04d71d306e2f55bebda2dbf81%22	https://distill.pub/2017/momentum/	distill.pub/2017/momentum/index.html	(from https://distill.pub/)
21:06:32	63495/63495	---M--	200	added ('OK')	image/jpeg	etag:%229240ee354cc2bd67060e284c71ce619f%22	https://distill.pub/2017/momentum/thumbnail.jpg	distill.pub/2017/momentum/thumbnail.jpg	(from https://distill.pub/)
21:06:32	771597/771597	---M--	200	added ('OK')	image/jpeg	etag:%22caeee4cbd665dc52c3a9179716acb6ee%22	https://distill.pub/2017/feature-visualization/thumbnail.jpg	distill.pub/2017/feature-visualization/thumbnail.jpg	(from https://distill.pub/)
21:06:32	35/35	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:32%20GMT	https://distill.pub/2017/research-debt	distill.pub/2017/research-debt	(from https://distill.pub/)
21:06:34	58143/58143	---M-Z	200	added ('OK')	text/html	etag:%226b12e0296861cdfdfec9c8526201c969%22	https://distill.pub/2017/research-debt/	distill.pub/2017/research-debt/index.html	(from https://distill.pub/)
21:06:34	56079/56079	---M--	200	added ('OK')	image/jpeg	etag:%22884d1e7ee46906dffd18f8a9bec11dca%22	https://distill.pub/2017/research-debt/thumbnail.jpg	distill.pub/2017/research-debt/thumbnail.jpg	(from https://distill.pub/)
21:06:34	33/33	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:34%20GMT	https://distill.pub/2016/handwriting	distill.pub/2016/handwriting	(from https://distill.pub/)
21:06:36	59405/59405	---M-Z	200	added ('OK')	text/html	etag:%2233ca9d27efd2dd6c6f75c8bdc3aa98b0%22	https://distill.pub/2016/handwriting/	distill.pub/2016/handwriting/index.html	(from https://distill.pub/)
21:06:36	81155/81155	---M--	200	added ('OK')	image/jpeg	etag:%22e0788197f2c908dcbb167958588cd53c%22	https://distill.pub/2016/handwriting/thumbnail.jpg	distill.pub/2016/handwriting/thumbnail.jpg	(from https://distill.pub/)
21:06:36	41/41	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:36%20GMT	https://distill.pub/2016/deconv-checkerboard	distill.pub/2016/deconv-checkerboard	(from https://distill.pub/)
21:06:38	87211/87211	---M-Z	200	added ('OK')	text/html	etag:%222fb0e5087fe2230ad01ae8ce82aea8c8%22	https://distill.pub/2016/deconv-checkerboard/	distill.pub/2016/deconv-checkerboard/index.html	(from https://distill.pub/)
21:06:38	148126/148126	---M--	200	added ('OK')	image/jpeg	etag:%2200d69b97aed4ef500d713df2478e7522%22	https://distill.pub/2016/deconv-checkerboard/thumbnail.jpg	distill.pub/2016/deconv-checkerboard/thumbnail.jpg	(from https://distill.pub/)
21:06:38	34/34	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:38%20GMT	https://distill.pub/2016/misread-tsne	distill.pub/2016/misread-tsne	(from https://distill.pub/)
21:06:40	70893/70893	---M-Z	200	added ('OK')	text/html	etag:%22b26f89238283d21fa9b96251ff671ef2%22	https://distill.pub/2016/misread-tsne/	distill.pub/2016/misread-tsne/index.html	(from https://distill.pub/)
21:06:40	79465/79465	---M--	200	added ('OK')	image/jpeg	etag:%225687f68b5d16673556332167ed3e0029%22	https://distill.pub/2016/misread-tsne/thumbnail.jpg	distill.pub/2016/misread-tsne/thumbnail.jpg	(from https://distill.pub/)
21:06:40	36/36	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Feb%202018%2015:36:40%20GMT	https://distill.pub/2016/augmented-rnns	distill.pub/2016/augmented-rnns	(from https://distill.pub/)
